MS_system,Name,AvgCyclomatic,CountDeclFile,CountLine,CountLineBlank,CountLineCode,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,RatioCommentToCode,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLineCodeDecl,CountLineCodeExe,CountOutput,CountSemicolon,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,CountDeclMethodStrictPrivate,CountDeclMethodStrictPublished,CountDeclModule,CountDeclProperty,CountDeclSubprogram,CountLineInactive
Basilisk,org.dicegroup.basilisk.events.benchmark,0.0,7.0,125.0,33.0,92.0,0.0,55.0,55.0,0.0,,"0,00",0.0,0.0,0.0,0.0,,,,,7.0,0.0,0.0,,,0.0,13.0,0.0,,0.0,0.0,0.0,0.0,,85.0,0.0,,48.0,0.0,,0.0,,,0.0,,,,,,,,,,,,,
Basilisk,org.dicegroup.basilisk.events.hook,0.0,2.0,37.0,11.0,26.0,0.0,14.0,14.0,0.0,,"0,00",0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,,,0.0,6.0,0.0,,0.0,0.0,0.0,0.0,,24.0,0.0,,12.0,0.0,,0.0,,,0.0,,,,,,,,,,,,,
Basilisk,org.dicegroup.basilisk.repositoryService,1.0,1.0,15.0,4.0,11.0,0.0,7.0,6.0,1.0,,"0,00",3.0,0.0,3.0,0.0,,,,,1.0,1.0,0.0,,,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,8.0,1.0,,5.0,1.0,,0.0,,,1.0,,,,,,,,,,,,,
Basilisk,org.dicegroup.basilisk.repositoryService.config,1.0,6.0,162.0,36.0,126.0,0.0,82.0,68.0,15.0,,"0,00",4.0,0.0,4.0,0.0,,,,,6.0,0.0,0.0,,,13.0,5.0,13.0,,5.0,0.0,0.0,8.0,,93.0,15.0,,63.0,1.0,,0.0,,,13.0,,,,,,,,,,,,,
Basilisk,org.dicegroup.basilisk.repositoryService.core,1.0,1.0,18.0,6.0,12.0,0.0,8.0,7.0,1.0,,"0,00",3.0,0.0,3.0,0.0,,,,,1.0,0.0,0.0,,,1.0,1.0,1.0,,0.0,0.0,0.0,1.0,,9.0,1.0,,6.0,1.0,,0.0,,,1.0,,,,,,,,,,,,,
Basilisk,org.dicegroup.basilisk.repositoryService.core.exception,1.0,2.0,16.0,4.0,12.0,0.0,8.0,6.0,2.0,,"0,00",3.0,0.0,3.0,0.0,,,,,2.0,0.0,0.0,,,2.0,0.0,2.0,,0.0,0.0,0.0,2.0,,6.0,2.0,,4.0,1.0,,0.0,,,2.0,,,,,,,,,,,,,
Basilisk,org.dicegroup.basilisk.repositoryService.dto,1.0,2.0,94.0,17.0,77.0,0.0,59.0,31.0,37.0,,"0,00",13.0,1.0,12.0,0.0,,,,,2.0,0.0,0.0,,,4.0,4.0,4.0,,0.0,0.0,0.0,4.0,,43.0,37.0,,53.0,1.0,,0.0,,,4.0,,,,,,,,,,,,,
Basilisk,org.dicegroup.basilisk.repositoryService.model,0.0,1.0,25.0,5.0,20.0,0.0,12.0,12.0,0.0,,"0,00",0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,,,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,19.0,0.0,,11.0,0.0,,0.0,,,0.0,,,,,,,,,,,,,
Basilisk,org.dicegroup.basilisk.repositoryService.model.benchmarking,0.0,6.0,175.0,41.0,134.0,0.0,88.0,88.0,0.0,,"0,00",0.0,0.0,0.0,0.0,,,,,6.0,0.0,0.0,,,0.0,29.0,0.0,,0.0,0.0,0.0,0.0,,128.0,0.0,,82.0,0.0,,0.0,,,0.0,,,,,,,,,,,,,
Basilisk,org.dicegroup.basilisk.repositoryService.model.repo,0.0,1.0,30.0,6.0,24.0,0.0,16.0,16.0,0.0,,"0,00",0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,,,0.0,5.0,0.0,,0.0,0.0,0.0,0.0,,23.0,0.0,,15.0,0.0,,0.0,,,0.0,,,,,,,,,,,,,
