source,A,CCRC,Ca,Ce,NOC,NOI,PkgRCi,PkgTCi,TLOC,Aa,Ad,Ai,Ait,Ao,Av,ClRCi,ClTCi,DIT,HMd,HMi,MHF,MIF,Ma,Md,Mi,Mit,Mo,NF,NM,NMA,NMI,NOA,NOCh,NOD,NOL,NOPa,NORM,NPF,NPM,NSF,NSM,PMR,PMd,PMi,RTLOC,SIX,WMC,Ci,Di,Fin,Fout,IOVars,MCLC,NBD,NCOMP,NOP,NVAR,Si,VG,DMS,I,AHF,AIF,LCOM*,NMIR,PF
com.apssouza.pojos,0.0,0.0,8.0,0.0,2.0,0.0,1.15,23.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,
com.apssouza.infra,0.666666667,66.666666667,0.0,0.0,3.0,2.0,1.285714286,9.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de.codecentric.boot.admin,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.apssouza.discovery,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.apssouza.config,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,
demo,0.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,
com.ewolff.microservice.customer,0.166666667,83.333333333,2.0,0.0,6.0,1.0,1.741935484,54.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833333333,0.0,,,,,
com.ewolff.microservice.customer.cdc,0.0,100.0,0.0,1.0,4.0,0.0,1.975308642,53.333333333,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,
com.ewolff.microservice.customer.web,0.0,200.0,0.0,1.0,1.0,0.0,2.142857143,15.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,
com.ewolff.microservice.catalog,0.142857143,100.0,2.0,0.0,7.0,1.0,1.461538462,38.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.857142857,0.0,,,,,
com.ewolff.microservice.catalog.cdc,0.0,100.0,0.0,1.0,4.0,0.0,1.625,32.5,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,
com.ewolff.microservice.catalog.web,0.0,200.0,0.0,1.0,1.0,0.0,1.777777778,16.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,
com.ewolff.microservice.order,0.0,0.0,3.0,0.0,2.0,0.0,1.0,2.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,
com.ewolff.microservice.order.catalogstub,0.0,100.0,0.0,1.0,1.0,0.0,1.5,3.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,
com.ewolff.microservice.order.clients,0.0,33.333333333,5.0,0.0,6.0,0.0,1.596296296,71.833333333,230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,
com.ewolff.microservice.order.customerstub,0.0,100.0,0.0,1.0,1.0,0.0,1.5,3.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,
com.ewolff.microservice.order.logic,0.111111111,288.888888889,0.0,7.0,9.0,1.0,2.270833333,109.0,239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111111111,1.0,,,,,
pl.piomin.services.account,0.0,50.0,0.0,1.0,2.0,0.0,2.0,10.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,
pl.piomin.services.account.controller,0.0,200.0,0.0,1.0,1.0,0.0,1.75,7.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,
pl.piomin.services.account.model,0.0,0.0,3.0,0.0,1.0,0.0,1.272727273,14.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,
pl.piomin.services.account.repository,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,
pl.piomin.services.discovery,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl.piomin.services.gateway,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.example,0.222222222,77.777777778,0.0,0.0,9.0,2.0,2.441860465,105.0,188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.example.dto,0.0,50.0,3.0,0.0,4.0,0.0,1.407407407,38.0,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,
com.example.service,0.75,125.0,1.0,2.0,4.0,3.0,1.111111111,10.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.416666667,0.666666667,,,,,
