MS_system,Microservice,CountDeclFile,CountLine,CountLineBlank,CountLineCode,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLineCodeDecl,CountLineCodeExe,CountSemicolon,SumCyclomatic,PackageSumCa,PackageSumCe,PackageSumNOC,PackageSumNOI,PackageSumPkgRCi,PackageSumPkgTCi,PackageSumTLOC,degree_centrality,in_degree_centrality,out_degree_centrality,eigenvector_centrality,closeness_centralty,betweenness_centrality,load_centrality,harmonic_centrality,information_centrality,currrent_flow_centrality,subgraph_centrality
blog-microservices,monitor-dashboard,1.0,40.0,8.0,31.0,1.0,20.0,15.0,6.0,1.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,21.0,6.0,16.0,4.0,0.0,0.0,1.0,0.0,1.333333333,4.0,16.0,0.2,0.2,0.0,1.4259683781261654e-06,0.2,0.0,0.0,2.0,0.081081081081081,0.0580246913580247,4.009155699378136
blog-microservices,product-service,3.0,140.0,28.0,93.0,19.0,64.0,48.0,20.0,3.0,1.0,2.0,0.0,5.0,3.0,6.0,0.0,1.0,0.0,5.0,65.0,21.0,54.0,8.0,0.0,0.0,3.0,0.0,2.75,10.0,45.0,0.2,0.1,0.1,9.834264676732177e-08,0.1,0.0,0.0,1.0,0.0842105263157894,0.0515432098765432,4.719495298976998
blog-microservices,recommendation-service,3.0,157.0,32.0,98.0,27.0,68.0,49.0,24.0,3.0,1.0,2.0,0.0,5.0,3.0,6.0,0.0,1.0,0.0,5.0,67.0,25.0,58.0,8.0,0.0,0.0,3.0,0.0,2.75,10.0,49.0,0.2,0.1,0.1,9.834264676732177e-08,0.1,0.0,0.0,1.0,0.0842105263157894,0.0515432098765431,4.7194952989770105
blog-microservices,review-service,3.0,176.0,34.0,115.0,27.0,77.0,56.0,26.0,3.0,1.0,2.0,0.0,5.0,4.0,6.0,0.0,1.0,0.0,5.0,82.0,27.0,67.0,8.0,0.0,0.0,3.0,0.0,3.0,11.0,52.0,0.2,0.1,0.1,9.834264676732177e-08,0.1,0.0,0.0,1.0,0.0842105263157894,0.0515432098765432,4.719495298977008
blog-microservices,turbine-server,1.0,36.0,8.0,27.0,1.0,20.0,17.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,5.0,18.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,11.0,0.3,0.1,0.2,9.834264676732177e-08,0.1,0.0,0.0,1.0,0.0952380952380952,0.1333333333333333,6.570609984724262
geocoder-microservices,configurator,1.0,14.0,3.0,11.0,0.0,7.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,0.75,0.0,0.75,2.6080764353531077e-17,0.0,0.0,0.0,0.0,0.1932650073206442,0.4406114718614719,17.778720145202406
geocoder-microservices,eureka-discovery,2.0,36.0,7.0,29.0,1.0,20.0,18.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,23.0,4.0,16.0,2.0,0.0,0.0,2.0,0.0,0.5,1.0,12.0,0.625,0.5,0.125,0.5350062397161907,0.5568181818181818,0.2142857142857142,0.2142857142857142,5.333333333333334,0.1815680880330123,0.2437770562770561,15.861217048087676
geocoder-microservices,geocoderlocal-service,11.0,467.0,110.0,322.0,36.0,241.0,153.0,100.0,11.0,1.0,1.0,0.0,33.0,12.0,34.0,0.0,1.0,0.0,33.0,188.0,110.0,177.0,59.0,15.0,9.0,11.0,3.0,14.529824561,50.666666667,232.0,0.375,0.25,0.125,0.2349789021466484,0.3828125,0.0,0.0,3.9166666666666665,0.1500852757248436,0.0999729437229436,8.66061552056111
geocoder-microservices,hystrix-dashboard,1.0,23.0,4.0,19.0,0.0,12.0,10.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,14.0,2.0,9.0,2.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,0.375,0.25,0.125,2.8676103667967156e-05,0.125,0.0,0.0,1.0,0.0821406347230864,0.5898268398268395,4.612023871865976
geocoder-microservices,zuul-gateway,3.0,84.0,24.0,60.0,0.0,39.0,32.0,10.0,3.0,1.0,1.0,0.0,6.0,0.0,7.0,0.0,0.0,0.0,7.0,43.0,10.0,29.0,7.0,1.0,1.0,3.0,0.0,1.6666666669999999,6.0,30.0,0.625,0.375,0.25,0.5765340294753317,0.5104166666666667,0.3035714285714285,0.3035714285714285,4.833333333333334,0.1667719519898926,0.3317099567099567,9.812414362468626
java-microservice,eureka-server,1.0,14.0,3.0,11.0,0.0,7.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,0.8181818181818182,0.7272727272727273,0.0909090909090909,0.0090426358725077,0.7575757575757576,0.0012987012987012,0.0012987012987012,9.0,0.2565275831498274,0.169910475997433,165.8899068882546
