MS_system,Microservice,CountDeclFile,CountLine,CountLineBlank,CountLineCode,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLineCodeDecl,CountLineCodeExe,CountSemicolon,SumCyclomatic,PackageSumCa,PackageSumCe,PackageSumNOC,PackageSumNOI,PackageSumPkgRCi,PackageSumPkgTCi,PackageSumTLOC,degree_centrality,in_degree_centrality,out_degree_centrality,eigenvector_centrality,closeness_centralty,betweenness_centrality,load_centrality,harmonic_centrality,information_centrality,currrent_flow_centrality,subgraph_centrality
qbike,microservice-api-gateway,1.0,13.0,2.0,11.0,0.0,7.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,0.2142857142857142,0.1428571428571428,0.0714285714285714,0.7071100055885545,0.3262548262548262,0.0659340659340659,0.0659340659340659,5.833333333333334,0.0260869565217391,0.142857142857143,2.42244034056323
qbike,qbike-trip,10.0,290.0,37.0,232.0,23.0,165.0,127.0,50.0,10.0,1.0,3.0,0.0,10.0,25.0,11.0,1.0,0.0,0.0,10.0,169.0,57.0,145.0,12.0,,,,,,,,0.1428571428571428,0.0714285714285714,0.0714285714285714,1.018554664409853e-08,0.0714285714285714,0.0,0.0,1.0,0.0283018867924528,0.0476190476190476,2.9505684712328537
qbike,qbike-uc,8.0,174.0,28.0,146.0,0.0,96.0,81.0,18.0,8.0,1.0,0.0,0.0,4.0,27.0,5.0,0.0,0.0,0.0,5.0,118.0,19.0,84.0,5.0,,,,,,,,0.0714285714285714,0.0,0.0714285714285714,3.5122574634822536e-10,0.0,0.0,0.0,0.0,0.024793388429752,0.0,1.7749816711435848
sample-spring-cloud-webflux,customer-service,11.0,414.0,88.0,311.0,16.0,210.0,153.0,65.0,11.0,4.0,3.0,0.0,35.0,22.0,39.0,5.0,0.0,0.0,34.0,203.0,66.0,155.0,44.0,,,,,,,,0.5,0.25,0.25,0.3768150168973653,0.5,0.0833333333333333,0.0833333333333333,2.333333333333333,0.2580645161290322,0.1458333333333333,3.103674880196262
sample-spring-cloud-webflux,discovery-service,5.0,88.0,20.0,63.0,5.0,40.0,36.0,5.0,5.0,3.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,5.0,49.0,6.0,30.0,5.0,,,,,,,,0.75,0.5,0.25,0.4953602509288228,0.5714285714285714,0.5,0.5,2.8333333333333335,0.3076923076923077,0.3333333333333333,4.360481641995326
sample-spring-cloud-webflux,gateway-service,5.0,149.0,29.0,120.0,1.0,83.0,70.0,19.0,5.0,2.0,1.0,0.0,6.0,2.0,8.0,2.0,0.0,0.0,6.0,88.0,26.0,70.0,10.0,0.0,0.0,5.0,0.0,3.1666666670000003,11.0,44.0,1.25,0.5,0.75,0.5732796446078026,0.6666666666666666,0.8333333333333333,0.8333333333333333,3.0,0.3636363636363636,0.7083333333333334,5.207349760392519
sample-spring-microservices-new,config-service,3.0,52.0,11.0,36.0,5.0,22.0,20.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,28.0,2.0,16.0,3.0,,,,,,,,0.7142857142857142,0.0,0.7142857142857142,2.4671121411124784e-08,0.0,0.0,0.0,0.0,0.2968197879858658,0.1343537414965986,32.75560866365456
sample-spring-microservices-new,department-service,8.0,375.0,80.0,295.0,0.0,200.0,130.0,85.0,8.0,1.0,2.0,0.0,43.0,13.0,44.0,11.0,0.0,0.0,33.0,167.0,91.0,149.0,46.0,11.0,6.0,8.0,1.0,9.06060606,70.5,199.0,0.8571428571428571,0.4285714285714285,0.4285714285714285,0.2670565257652674,0.5142857142857142,0.0218253968253968,0.0218253968253968,4.333333333333333,0.3193916349809886,0.1746031746031746,41.12059630562406
sample-spring-microservices-new,employee-service,6.0,329.0,64.0,265.0,0.0,178.0,109.0,83.0,6.0,1.0,2.0,0.0,36.0,9.0,37.0,11.0,0.0,0.0,26.0,144.0,91.0,135.0,40.0,8.0,5.0,6.0,0.0,6.95,61.5,177.0,0.8571428571428571,0.5714285714285714,0.2857142857142857,0.4083148800996026,0.6428571428571428,0.0218253968253968,0.0218253968253968,5.0,0.3193916349809886,0.1746031746031745,41.12059630562399
sample-spring-microservices-new,organization-service,10.0,433.0,101.0,332.0,0.0,227.0,154.0,89.0,10.0,1.0,2.0,0.0,52.0,17.0,53.0,5.0,0.0,0.0,48.0,195.0,92.0,167.0,51.0,11.0,7.0,10.0,2.0,8.765151516,77.5,225.0,0.8571428571428571,0.2857142857142857,0.5714285714285714,0.1746668274065739,0.4285714285714285,0.0218253968253968,0.0218253968253968,3.6666666666666665,0.3193916349809886,0.1746031746031748,41.12059630562408
scaffold-cloud,scaffold-business-sys-service,64.0,2472.0,407.0,1337.0,728.0,977.0,848.0,183.0,64.0,0.0,1.0,0.0,115.0,175.0,115.0,63.0,2.0,0.0,50.0,1054.0,200.0,836.0,77.0,,,,,,,,0.0909090909090909,0.0,0.0909090909090909,1.296831982582122e-08,0.0,0.0,0.0,0.0,0.0468749999999999,-8.074349270001138e-18,2.116549521840251
scaffold-cloud,scaffold-config-server,2.0,38.0,6.0,26.0,6.0,16.0,14.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,20.0,2.0,12.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,11.0,0.1818181818181818,0.0,0.1818181818181818,1.296831982582122e-08,0.0,0.0,0.0,0.0,0.0576923076923077,0.0606060606060606,3.444636984506417
scaffold-cloud,scaffold-eureka,1.0,18.0,4.0,11.0,3.0,7.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,0.9090909090909092,0.8181818181818182,0.0909090909090909,5.978395439703578e-06,0.8181818181818182,0.1636363636363636,0.1636363636363636,9.0,0.088235294117647,0.9696969696969696,12.924719208143982
scaffold-cloud,scaffold-route-app,1.0,24.0,4.0,17.0,3.0,10.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.0,1.0,8.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0909090909090909,0.0,0.0909090909090909,1.296831982582122e-08,0.0,0.0,0.0,0.0,0.046875,-1.6148698540002276e-17,2.1165495218402506
scaffold-cloud,scaffold-route-openapi,1.0,28.0,2.0,23.0,3.0,12.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,1.0,10.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0909090909090909,0.0,0.0909090909090909,1.296831982582122e-08,0.0,0.0,0.0,0.0,0.0468749999999999,-8.074349270001138e-18,2.1165495218402515
scaffold-cloud,scaffold-route-operate,29.0,1870.0,257.0,1300.0,323.0,952.0,661.0,411.0,29.0,10.0,24.0,0.0,70.0,47.0,80.0,1.0,0.0,5.0,74.0,816.0,464.0,776.0,144.0,,,,,,,,0.0909090909090909,0.0,0.0909090909090909,1.296831982582122e-08,0.0,0.0,0.0,0.0,0.046875,-1.6148698540002276e-17,2.116549521840251
scaffold-cloud,scaffold-txmanager,1.0,21.0,3.0,14.0,4.0,9.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,1.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0909090909090909,0.0,0.0909090909090909,1.296831982582122e-08,0.0,0.0,0.0,0.0,0.046875,-1.6148698540002276e-17,2.116549521840253
scaffold-cloud,scaffold-zuul,1.0,19.0,3.0,11.0,5.0,7.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,0.2727272727272727,0.1818181818181818,0.0909090909090909,0.707109569357142,0.55,0.0909090909090909,0.0909090909090909,6.5,0.0517241379310344,0.1818181818181817,2.782684433490373
spring-boot-microservices-workshop,movie-catalog-service,7.0,225.0,55.0,166.0,6.0,115.0,83.0,34.0,7.0,1.0,0.0,0.0,28.0,12.0,29.0,0.0,0.0,0.0,29.0,95.0,37.0,79.0,30.0,1.0,1.0,7.0,0.0,27.32,60.333333333,116.0,1.0,0.0,1.0,1.989329237967547e-06,0.0,0.0,0.0,0.0,0.5714285714285714,0.4166666666666667,4.248218608460323
spring-boot-microservices-workshop,movie-service,5.0,137.0,33.0,104.0,1.0,71.0,53.0,19.0,5.0,1.0,0.0,0.0,16.0,8.0,17.0,0.0,0.0,0.0,17.0,64.0,19.0,49.0,17.0,1.0,1.0,5.0,0.0,6.564102565000001,22.666666667,71.0,,,,,,,,,,,
spring-boot-microservices-workshop,ratings-data-service,5.0,121.0,31.0,90.0,0.0,59.0,43.0,17.0,5.0,1.0,0.0,0.0,13.0,4.0,14.0,0.0,0.0,0.0,14.0,52.0,20.0,40.0,14.0,1.0,1.0,5.0,0.0,3.7,17.0,59.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0014104344297189,0.3333333333333333,0.0,0.0,1.0,0.4444444444444444,0.1666666666666666,3.0185860343596342
springcloudmicroservices,hotel-service,9.0,190.0,43.0,146.0,1.0,90.0,76.0,16.0,9.0,1.0,0.0,0.0,13.0,6.0,14.0,4.0,0.0,0.0,10.0,104.0,17.0,70.0,12.0,,,,,,,,0.4,0.2,0.2,0.2804897332200531,0.4545454545454545,0.0333333333333333,0.0333333333333333,2.6666666666666665,0.2197802197802197,0.1,3.621603984623392
springcloudmicroservices,rating-service,7.0,167.0,44.0,122.0,1.0,75.0,66.0,9.0,7.0,1.0,0.0,0.0,15.0,7.0,16.0,7.0,0.0,0.0,9.0,90.0,9.0,58.0,10.0,,,,,,,,0.6000000000000001,0.4,0.2,0.4411799451250864,0.5555555555555556,0.0333333333333333,0.0333333333333333,3.333333333333333,0.2631578947368421,0.1699999999999999,5.962320717476419
springcloudmicroservices,serviceregistry,2.0,28.0,8.0,20.0,0.0,12.0,11.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,15.0,1.0,8.0,2.0,0.0,0.0,2.0,0.0,0.5,1.0,9.0,0.8,0.6000000000000001,0.2,0.5741290383926503,0.625,0.55,0.55,3.8333333333333335,0.2985074626865672,0.3249999999999999,7.649702190043632
springcloudmicroservices,user-service,15.0,368.0,78.0,286.0,5.0,181.0,161.0,34.0,15.0,1.0,0.0,0.0,23.0,24.0,24.0,9.0,0.0,0.0,15.0,227.0,35.0,151.0,17.0,,,,,,,,0.6000000000000001,0.2,0.4,0.2804897332200531,0.4545454545454545,0.0333333333333333,0.0333333333333333,2.6666666666666665,0.2631578947368421,0.1699999999999999,5.962320717476415
train-ticket,ts-admin-basic-info-service,8.0,1383.0,176.0,1038.0,194.0,583.0,400.0,318.0,9.0,1.0,2.0,0.0,110.0,18.0,111.0,20.0,1.0,1.0,89.0,571.0,557.0,484.0,91.0,,,,,,,,0.1428571428571428,0.0,0.1428571428571428,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0336987137690449,0.1052517424495911,12.86253695121188
train-ticket,ts-admin-order-service,9.0,883.0,115.0,705.0,78.0,440.0,321.0,226.0,16.0,1.0,2.0,0.0,54.0,18.0,55.0,4.0,1.0,1.0,49.0,415.0,350.0,375.0,56.0,2.0,4.0,9.0,1.0,5.217171717,46.0,373.0,0.0571428571428571,0.0,0.0571428571428571,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0250302799927257,0.0096182941256047,6.432437117634174
train-ticket,ts-admin-route-service,7.0,478.0,62.0,363.0,61.0,226.0,172.0,91.0,10.0,1.0,2.0,0.0,26.0,13.0,27.0,3.0,1.0,1.0,22.0,220.0,147.0,185.0,33.0,2.0,2.0,7.0,1.0,5.361111111,37.0,170.0,0.0571428571428571,0.0,0.0571428571428571,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0250017513704815,0.021394377357158,6.036703763488904
train-ticket,ts-admin-travel-service,7.0,795.0,88.0,643.0,81.0,403.0,265.0,240.0,14.0,1.0,2.0,0.0,40.0,11.0,41.0,4.0,2.0,1.0,34.0,328.0,368.0,339.0,56.0,2.0,2.0,7.0,1.0,5.181818182,55.0,370.0,0.1428571428571428,0.0,0.1428571428571428,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0351279071592275,0.0521402604520417,35.79718626177077
train-ticket,ts-assurance-service,13.0,1082.0,156.0,722.0,210.0,489.0,324.0,237.0,14.0,2.0,2.0,0.0,75.0,26.0,77.0,17.0,0.0,1.0,59.0,431.0,283.0,398.0,76.0,9.0,6.0,12.0,2.0,9.836204147,97.0,407.0,0.0571428571428571,0.0571428571428571,0.0,1.679206121358046e-10,0.0571428571428571,0.0,0.0,2.0,0.0257565554155704,0.0068873098756474,8.981459248546614
train-ticket,ts-cancel-service,10.0,824.0,109.0,642.0,88.0,406.0,269.0,233.0,21.0,2.0,2.0,0.0,36.0,17.0,38.0,2.0,6.0,1.0,29.0,327.0,358.0,341.0,55.0,2.0,2.0,10.0,1.0,6.694805195,60.0,374.0,0.1428571428571428,0.0,0.1428571428571428,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0334791737192094,0.1710208893113876,14.872778211740506
train-ticket,ts-config-service,10.0,663.0,101.0,470.0,97.0,308.0,215.0,131.0,11.0,1.0,2.0,0.0,45.0,15.0,46.0,8.0,0.0,1.0,37.0,291.0,172.0,255.0,43.0,12.0,7.0,10.0,2.0,8.597435897,60.0,256.0,0.0571428571428571,0.0571428571428571,0.0,0.0038458280868001,0.1503105590062111,0.0,0.0,5.999999999999999,0.0247141119197419,0.0247141502020538,5.094163862480831
train-ticket,ts-consign-price-service,10.0,584.0,81.0,427.0,80.0,285.0,203.0,114.0,11.0,1.0,4.0,0.0,35.0,17.0,36.0,5.0,0.0,1.0,30.0,273.0,149.0,241.0,34.0,12.0,7.0,10.0,2.0,9.056818182,45.0,222.0,0.0285714285714285,0.0285714285714285,0.0,5.4448420071459114e-08,0.0514285714285714,0.0,0.0,2.0,0.0139227157899016,0.0,1.7625693155731017
train-ticket,ts-consign-service,13.0,864.0,124.0,588.0,162.0,395.0,291.0,161.0,18.0,1.0,2.0,0.0,46.0,40.0,47.0,9.0,1.0,1.0,36.0,381.0,215.0,339.0,43.0,12.0,7.0,13.0,2.0,9.331501832,66.0,316.0,0.0857142857142857,0.0571428571428571,0.0285714285714285,1.679206121358046e-10,0.0571428571428571,0.0016806722689075,0.0016806722689075,2.0,0.026437494199981,0.0638170468397428,9.958915942203546
train-ticket,ts-contacts-service,11.0,886.0,129.0,628.0,133.0,416.0,271.0,207.0,12.0,2.0,2.0,0.0,64.0,23.0,66.0,13.0,0.0,1.0,52.0,372.0,254.0,342.0,64.0,12.0,7.0,10.0,2.0,9.49719888,82.0,355.0,0.0857142857142857,0.0857142857142857,0.0,2.518162836339866e-10,0.0857142857142857,0.0,0.0,3.0,0.0302833153731375,0.0451079623333518,11.962054753755886
train-ticket,ts-food-delivery-service,14.0,721.0,118.0,569.0,40.0,380.0,281.0,145.0,16.0,1.0,3.0,0.0,45.0,34.0,46.0,10.0,1.0,1.0,34.0,370.0,196.0,319.0,46.0,,,,,,,,0.0285714285714285,0.0,0.0285714285714285,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0103636645606618,1.1941894718657148e-17,1.5990762102232428
train-ticket,ts-food-service,21.0,1421.0,246.0,1024.0,161.0,705.0,464.0,315.0,26.0,2.0,7.0,0.0,81.0,42.0,83.0,22.0,2.0,2.0,57.0,592.0,403.0,583.0,98.0,25.0,12.0,21.0,4.0,20.840935673,144.0,590.0,0.1428571428571428,0.0571428571428571,0.0857142857142857,1.679206121358046e-10,0.0571428571428571,0.0042016806722689,0.0042016806722689,2.0,0.0327965999849843,0.1947760160155601,20.7789804017349
train-ticket,ts-inside-payment-service,21.0,1538.0,235.0,1095.0,218.0,747.0,475.0,411.0,24.0,6.0,3.0,0.0,92.0,51.0,98.0,21.0,4.0,1.0,72.0,623.0,498.0,614.0,111.0,15.0,9.0,19.0,3.0,12.85775249,120.0,660.0,0.1428571428571428,0.0571428571428571,0.0857142857142857,1.679206121358046e-10,0.0571428571428571,0.0021008403361344,0.0021008403361344,2.0,0.0334042231488389,0.1262893132236247,17.075194382666115
train-ticket,ts-notification-service,16.0,913.0,165.0,669.0,83.0,488.0,329.0,207.0,17.0,1.0,4.0,0.0,52.0,59.0,53.0,7.0,0.0,1.0,45.0,413.0,256.0,420.0,52.0,15.0,9.0,16.0,2.0,8.431623931,64.0,405.0,0.0571428571428571,0.0285714285714285,0.0285714285714285,8.402494063762365e-11,0.0285714285714285,0.0008403361344537,0.0008403361344537,1.0,0.0161631010966359,0.0571428571428576,2.6013917891190386
train-ticket,ts-order-service,12.0,1752.0,246.0,1429.0,92.0,998.0,534.0,630.0,15.0,1.0,2.0,0.0,137.0,51.0,138.0,24.0,1.0,1.0,112.0,708.0,758.0,822.0,160.0,12.0,7.0,12.0,2.0,10.342131845,272.444444444,1034.0,0.2571428571428571,0.2285714285714285,0.0285714285714285,0.0038459373189644,0.2571428571428571,0.0035714285714285,0.003641456582633,11.0,0.0403513917313028,0.1993790080243654,53.16418552382257
train-ticket,ts-preserve-other-service,9.0,891.0,142.0,690.0,67.0,457.0,277.0,294.0,21.0,1.0,4.0,0.0,31.0,13.0,32.0,1.0,9.0,1.0,21.0,336.0,426.0,400.0,48.0,4.0,4.0,9.0,1.0,6.826315789,60.0,409.0,0.3142857142857143,0.0,0.3142857142857143,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0425457357921408,0.2613748380860863,78.25189828213092
train-ticket,ts-preserve-service,9.0,881.0,134.0,688.0,67.0,457.0,277.0,292.0,20.0,1.0,4.0,0.0,31.0,13.0,32.0,1.0,9.0,1.0,21.0,336.0,423.0,400.0,48.0,4.0,4.0,9.0,1.0,6.826315789,60.0,407.0,0.3142857142857143,0.0,0.3142857142857143,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0425700420033954,0.2582182859245798,83.99939571638457
train-ticket,ts-price-service,10.0,769.0,121.0,603.0,49.0,426.0,247.0,228.0,11.0,1.0,2.0,0.0,51.0,20.0,52.0,11.0,0.0,1.0,40.0,326.0,274.0,361.0,53.0,12.0,7.0,10.0,2.0,9.722527472,78.0,376.0,0.0571428571428571,0.0571428571428571,0.0,0.003845773722405,0.1382857142857143,0.0,0.0,5.666666666666666,0.0244131648141238,0.0210334681114627,5.05986802118967
train-ticket,ts-rebook-service,9.0,931.0,118.0,749.0,72.0,510.0,311.0,320.0,14.0,2.0,2.0,0.0,36.0,18.0,38.0,2.0,12.0,1.0,23.0,378.0,439.0,427.0,74.0,7.0,5.0,9.0,1.0,8.586956522,86.0,498.0,0.1714285714285714,0.0,0.1714285714285714,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0375985716991094,0.1221964175541739,41.12442466093225
train-ticket,ts-route-plan-service,7.0,737.0,99.0,573.0,70.0,417.0,266.0,248.0,16.0,1.0,2.0,0.0,29.0,10.0,30.0,3.0,5.0,1.0,21.0,302.0,327.0,358.0,48.0,2.0,2.0,7.0,1.0,5.744444444,48.0,348.0,0.1142857142857142,0.0285714285714285,0.0857142857142857,8.402494063762365e-11,0.0285714285714285,0.0002801120448179,0.0002801120448179,1.0,0.0321720810141225,0.0365103843272919,24.393796878014893
train-ticket,ts-route-service,11.0,859.0,124.0,621.0,119.0,441.0,262.0,225.0,12.0,1.0,2.0,0.0,52.0,24.0,53.0,11.0,0.0,1.0,41.0,343.0,270.0,376.0,53.0,12.0,7.0,11.0,2.0,12.157142857,83.0,379.0,0.1999999999999999,0.1999999999999999,0.0,0.003869522321823,0.2304761904761904,0.0,0.0,9.0,0.0374485216819562,0.1022558528763643,48.91876868783647
train-ticket,ts-seat-service,7.0,647.0,86.0,497.0,69.0,345.0,238.0,191.0,15.0,1.0,2.0,0.0,24.0,10.0,25.0,2.0,3.0,1.0,19.0,279.0,270.0,300.0,35.0,2.0,2.0,7.0,1.0,5.083333333,32.0,285.0,0.2571428571428571,0.1714285714285714,0.0857142857142857,2.3721501245379898e-05,0.1928571428571428,0.0193277310924369,0.0194677871148459,7.5,0.0410795797186183,0.1745840634006993,81.68642107617592
train-ticket,ts-security-service,10.0,689.0,106.0,538.0,50.0,362.0,259.0,162.0,13.0,1.0,2.0,0.0,47.0,18.0,48.0,9.0,3.0,1.0,35.0,339.0,212.0,308.0,44.0,5.0,7.0,10.0,2.0,8.882943144,68.0,291.0,0.1142857142857142,0.0571428571428571,0.0571428571428571,1.679206121358046e-10,0.0571428571428571,0.0008403361344537,0.0008403361344537,2.0,0.0338689455057337,0.0597270069018054,24.041711766019752
train-ticket,ts-train-food-service,8.0,346.0,59.0,274.0,17.0,180.0,134.0,60.0,9.0,1.0,3.0,0.0,21.0,8.0,22.0,7.0,1.0,1.0,13.0,175.0,84.0,149.0,23.0,7.0,5.0,8.0,2.0,11.166666667,38.0,130.0,0.0285714285714285,0.0285714285714285,0.0,5.4448420071459114e-08,0.0514285714285714,0.0,0.0,2.0,0.0155060478876874,0.0,2.0201898350183236
train-ticket,ts-train-service,10.0,753.0,112.0,623.0,23.0,405.0,248.0,207.0,11.0,1.0,2.0,0.0,58.0,15.0,59.0,12.0,0.0,1.0,46.0,346.0,267.0,334.0,61.0,12.0,7.0,10.0,2.0,11.200000000000001,87.0,374.0,0.1999999999999999,0.1999999999999999,0.0,0.0038694951396254,0.2304761904761904,0.0,0.0,9.0,0.0379879333908327,0.0968780757352624,52.61160673573367
train-ticket,ts-travel-plan-service,10.0,886.0,158.0,672.0,61.0,477.0,331.0,267.0,20.0,1.0,2.0,0.0,43.0,30.0,44.0,4.0,7.0,1.0,32.0,393.0,363.0,421.0,46.0,7.0,5.0,10.0,1.0,8.467532468,87.0,403.0,0.1428571428571428,0.0,0.1428571428571428,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0346705950425055,0.0533505194323301,36.03156252272678
train-ticket,ts-travel-service,13.0,1670.0,249.0,1303.0,134.0,909.0,521.0,575.0,18.0,2.0,3.0,0.0,99.0,44.0,101.0,18.0,8.0,1.0,74.0,663.0,720.0,762.0,126.0,8.0,7.0,14.0,2.0,11.258145363,194.0,921.0,0.2857142857142857,0.1714285714285714,0.1142857142857142,8.20500959943606e-08,0.175,0.017296918767507,0.0172268907563025,6.5,0.041122789366116,0.1820724278841258,97.71209267419673
train-ticket,ts-travel2-service,13.0,1542.0,222.0,1215.0,120.0,838.0,484.0,529.0,18.0,2.0,2.0,0.0,92.0,43.0,94.0,16.0,8.0,1.0,69.0,627.0,672.0,709.0,111.0,8.0,6.0,13.0,2.0,11.326923077,168.0,819.0,0.2285714285714285,0.1142857142857142,0.1142857142857142,2.7517909520542843e-08,0.1142857142857142,0.0080532212885154,0.0079831932773109,4.0,0.0389653542571212,0.1023286071670668,70.1692856597961
train-ticket,ts-user-service,13.0,896.0,140.0,687.0,77.0,443.0,317.0,193.0,15.0,2.0,2.0,0.0,59.0,38.0,61.0,11.0,2.0,1.0,47.0,420.0,272.0,370.0,60.0,,,,,,,,0.0857142857142857,0.0857142857142857,0.0,2.518162836339866e-10,0.0857142857142857,0.0,0.0,3.0,0.0305160618023703,0.0670363366178717,12.049410410090733
website,authserver,5.0,454.0,89.0,350.0,15.0,222.0,177.0,75.0,5.0,0.0,3.0,0.0,24.0,11.0,24.0,0.0,0.0,0.0,24.0,247.0,116.0,192.0,25.0,0.0,5.0,5.0,0.0,0.166666667,4.0,148.0,0.5,0.25,0.25,0.3768150168973653,0.5,0.0833333333333333,0.0833333333333333,2.333333333333333,0.2580645161290322,0.1458333333333333,3.1036748801962646
website,backend,166.0,8980.0,1949.0,6966.0,110.0,4556.0,3416.0,1499.0,169.0,131.0,135.0,0.0,418.0,289.0,549.0,69.0,4.0,3.0,473.0,4477.0,2335.0,3831.0,776.0,110.0,65.0,120.0,31.0,164.544143473,2092.124603175,1966.0,0.5,0.25,0.25,0.3768150168973653,0.5,0.0833333333333333,0.0833333333333333,2.333333333333333,0.2580645161290322,0.1458333333333333,3.1036748801962624
