MS_system,Microservice,Degree Centrality,In-degree Centrality,Out-degree Centrality,Eigenvector Centrality,Closeness Centrality,Betweenness Centrality,Load Centrality,Harmonic Centrality,Information Centrality,Currrent Flow Centrality,Subgraph Centrality,Violations,Code smells,Major violations,SQ maintainability remediation effort,Minor violations,Duplicated blocks,Critical violations,Avg(Security rating),Security remediation effort,SQ security remediation effort,Max(Security rating)
geocoder-microservices,zuul-gateway,0.625,0.375,0.25,0.5765340294753317,0.5104166666666667,0.3035714285714285,0.3035714285714285,4.833333333333334,0.1667719519898925,0.3317099567099569,9.812414362468626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
jhipster-microservices-example,jhipster-registry,2.0,1.0,1.0,0.6344553044127323,0.8,0.5833333333333333,0.5833333333333333,3.5,0.3,1.4444444444444449,9.163432143784515,13.0,13.0,2.0,75.0,9.0,70.0,2.0,1.0,0.0,0.0,1.0
microservice,eureka,0.8333333333333333,0.6666666666666666,0.1666666666666666,0.5883481051461716,0.6666666666666666,0.5,0.5,4.833333333333334,0.2419354838709677,0.488888888888889,12.111481148189869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
microservice-kafka,invoicing,0.5714285714285714,0.4285714285714285,0.1428571428571428,0.4999962518573184,0.6363636363636364,0.0238095238095238,0.0238095238095238,5.0,0.1636363636363636,0.2328042328042326,4.312729567368953,6.0,6.0,0.0,23.0,6.0,8.0,0.0,1.0,0.0,0.0,1.0
microservice-kafka,shipping,0.5714285714285714,0.4285714285714285,0.1428571428571428,0.4999962518573184,0.6363636363636364,0.0238095238095238,0.0238095238095238,5.0,0.1636363636363635,0.2328042328042328,4.312729567368956,6.0,6.0,0.0,22.0,6.0,5.0,0.0,1.0,0.0,0.0,1.0
piggymetrics,auth-service,0.5,0.1666666666666666,0.3333333333333333,0.1834615582825173,0.3205128205128205,0.0037878787878787,0.0037878787878787,4.833333333333333,0.1339620606598041,0.149954324531657,43.745381288613785,14.0,14.0,2.0,70.0,4.0,0.0,6.0,1.0,0.0,0.0,1.0
piggymetrics,notification-service,0.5,0.25,0.25,0.2730828967604916,0.3472222222222222,0.1148989898989899,0.1148989898989899,5.5,0.1331397592312931,0.2748185857140143,32.4344634807386,4.0,4.0,4.0,80.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
piggymetrics,statistics-service,0.5,0.3333333333333333,0.1666666666666666,0.2730829589093397,0.3968253968253968,0.1148989898989899,0.1148989898989899,6.25,0.1331397592312932,0.2748185857140144,32.434463480738536,11.0,9.0,8.0,54.0,0.0,11.0,3.0,1.0,0.0,0.0,1.0
sample-spring-cloud-webflux,gateway-service,1.25,0.5,0.75,0.5732796446078026,0.6666666666666666,0.8333333333333333,0.8333333333333333,3.0,0.3636363636363636,0.7083333333333334,5.207349760392519,1.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
sample-spring-microservices-new,department-service,0.8571428571428571,0.4285714285714285,0.4285714285714285,0.2670565257652674,0.5142857142857142,0.0218253968253968,0.0218253968253968,4.333333333333333,0.3193916349809886,0.1746031746031746,41.12059630562406,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0
