MS_system,Package,SQ reliability remediation effort,Security rating,Critical violations,Violations,Sqale rating,Cognitive complexity,Minor violations,Info violations,Security remediation effort,SQ maintainability remediation effort,Security hotspots,Effort to reach rating A,Duplicated blocks,Reliability remediation effort,Reliability rating,Code smells,SQ security remediation effort,Bugs,Major violations
Basilisk,org.dicegroup.basilisk.benchmarkService.services,35,1.0,2,16,1.0,17,8,1,0,115,1,0,0,35,3.0,13,0,3,5
Basilisk,org.dicegroup.basilisk,0,1.0,0,14,1.0,0,1,0,0,70,0,0,0,0,1.0,14,0,0,13
Basilisk,org.dicegroup.basilisk.benchmarkService.model.iguana.storage,0,1.0,0,19,2.0,0,11,0,0,121,0,13,0,0,1.0,19,0,0,8
Basilisk,org.dicegroup.basilisk.benchmarkService.model.iguana.task,0,1.0,0,16,2.0,0,4,0,0,100,0,24,0,0,1.0,16,0,0,12
Basilisk,org.dicegroup.basilisk.repositoryService.web,0,1.0,0,16,1.0,32,12,0,0,129,0,0,0,0,1.0,16,0,0,4
Basilisk,org.dicegroup.basilisk.benchmarkService.web,0,1.0,0,4,1.0,6,3,1,0,30,0,0,0,0,1.0,4,0,0,0
micro_webshop,io.swagger.api,0,1.0,2,3,1.0,6,0,0,0,11,0,0,2,0,1.0,3,0,0,1
micro_webshop,de.hska.iwi.vsys.microlab.api,0,1.0,1,17,1.0,27,14,1,0,43,0,0,3,0,1.0,17,0,0,1
micro_webshop,io.swagger.api,0,1.0,2,4,1.0,1,1,0,0,12,0,0,2,0,1.0,4,0,0,1
micro_webshop,io.swagger.api,0,1.0,0,0,1.0,5,0,0,0,0,0,0,2,0,1.0,0,0,0,0
micro_webshop,de.hska.iwi.oauth.server.config,0,1.0,0,1,1.0,0,0,0,0,5,0,0,0,0,1.0,1,0,0,1
micro_webshop,io.swagger.configuration,0,1.0,0,1,1.0,0,0,0,0,10,0,0,0,0,1.0,1,0,0,1
micro_webshop,io.swagger.configuration,0,1.0,0,1,1.0,0,0,0,0,10,0,0,0,0,1.0,1,0,0,1
micro_webshop,io.swagger.configuration,0,1.0,0,1,1.0,0,0,0,0,10,0,0,0,0,1.0,1,0,0,1
micro_webshop,de.hska.iwi.oauth.server.controller,0,1.0,0,1,1.0,0,0,0,0,5,0,0,0,0,1.0,1,0,0,1
micro_webshop,de.hska.iwi.oauth.server,0,1.0,0,2,1.0,0,0,0,0,10,0,0,0,0,1.0,2,0,0,2
micro_webshop,de.hska.iwi.vsys.microlab,0,1.0,1,18,1.0,27,14,1,0,53,0,0,3,0,1.0,18,0,0,2
micro_webshop,de.hska.iwi.vsys.microlab,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
micro_webshop,de.hska.iwi.vsys.microlab,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
micro_webshop,de.hska.iwi.vsys.microlab,0,1.0,0,3,1.0,0,3,0,0,3,0,0,0,0,1.0,3,0,0,0
micro_webshop,io.swagger,10,1.0,2,7,1.0,23,0,0,0,23,0,0,3,10,3.0,6,0,1,5
micro_webshop,io.swagger,0,1.0,2,6,1.0,13,1,1,0,22,0,0,4,0,1.0,6,0,0,2
micro_webshop,io.swagger,10,1.0,0,14,1.0,18,4,6,0,17,0,0,3,10,3.0,13,0,1,4
micro_webshop,io.swagger.manager,0,1.0,0,1,1.0,0,0,1,0,0,0,0,0,0,1.0,1,0,0,0
micro_webshop,io.swagger.manager,0,1.0,0,10,1.0,1,4,6,0,5,0,0,0,0,1.0,10,0,0,0
micro_webshop,io.swagger.model,10,1.0,0,3,1.0,15,0,0,0,2,0,0,1,10,3.0,2,0,1,3
micro_webshop,io.swagger.model,0,1.0,0,0,1.0,10,0,0,0,0,0,0,2,0,1.0,0,0,0,0
micro_webshop,io.swagger.model,10,1.0,0,3,1.0,10,0,0,0,2,0,0,1,10,3.0,2,0,1,3
micro_webshop,de.hska.iwi.vsys.microlab.swagger,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
sample-spring-cloud-webflux,pl.piomin.services.account.controller,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
sample-spring-cloud-webflux,pl.piomin.service.customer.controller,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
sample-spring-cloud-webflux,pl.piomin.service.customer,0,1.0,0,1,1.0,9,0,0,0,5,0,0,0,0,1.0,1,0,0,1
sample-spring-cloud-webflux,pl.piomin.services.account,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
sample-spring-cloud-webflux,pl.piomin.services.discovery,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
sample-spring-cloud-webflux,pl.piomin.services.gateway,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
sample-spring-cloud-webflux,pl.piomin.services.account.model,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
sample-spring-cloud-webflux,pl.piomin.service.customer.model,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
sample-spring-cloud-webflux,pl.piomin.services.account.repository,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
sample-spring-cloud-webflux,pl.piomin.service.customer.repository,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
sample-spring-cloud-webflux,pl.piomin.service.customer.utils,0,1.0,0,1,1.0,9,0,0,0,5,0,0,0,0,1.0,1,0,0,1
spring-boot-microservices,com.rohitghatol.microservice.auth.api,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
spring-boot-microservices,com.rohitghatol.microservices.task.apis,0,1.0,0,1,1.0,7,1,0,0,1,0,0,0,0,1.0,1,0,0,0
spring-boot-microservices,com.rohitghatol.microservices.comments.apis,0,1.0,0,1,1.0,3,1,0,0,1,0,0,0,0,1.0,1,0,0,0
