MS_system,Microservice,degree_centrality,in_degree_centrality,out_degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality,information_centrality,currrent_flow_centrality,subgraph_centrality,CountDeclMethodProtected,CountLineComment,MethodAvg_IOVars,CountLineCodeExe,MethodMax_Si,ClassAvg_NF,CountStmtExe,ClassAvg_Ad,ClassAvg_Aa,ClassSum_HMd,ClassSum_RTLOC,CountSemicolon,PackageSum_TLOC,CountLineCode,CountStmt,ClassAvg_NM,ClassAvg_NOL,CountDeclClassMethod,CountStmtDecl,CountLine,CountLineCodeDecl,ClassAvg_Md,ClassSum_NOL,ClassSum_NSM,ClassAvg_HMd,CountDeclMethodPrivate,CountDeclClassVariable,ClassSum_NSF,CountDeclClass,ClassAvg_Ma,ClassSum_NPM,CountDeclMethodPublic,ClassSum_PMd,ClassAvg_NSM,CountDeclMethodDefault
train-ticket,ts-price-service,0.0571428571428571,0.0571428571428571,0.0,0.003845773722405,0.1382857142857143,0.0,0.0,5.666666666666666,0.0244131648141238,0.0210334681114627,5.05986802118967,1.0,49.0,1.5294117647058822,274.0,0.0,2.2,228.0,2.2,2.2,1.0,597.0,361.0,376.0,603.0,426.0,5.1,1.2,1.0,247.0,769.0,326.0,4.0,12.0,1.0,0.1,0.0,2.0,2.0,11.0,4.0,38.0,40.0,39.0,0.1,11.0
train-ticket,ts-rebook-service,0.1714285714285714,0.0,0.1714285714285714,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0375985716991095,0.1221964175541738,41.12442466093225,1.0,72.0,2.324324324324324,439.0,0.0,2.2222222222222223,320.0,2.2222222222222223,2.2222222222222223,13.0,770.0,427.0,498.0,749.0,510.0,4.0,1.1111111111111112,2.0,311.0,931.0,378.0,3.888888888888889,10.0,2.0,1.4444444444444444,12.0,2.0,2.0,14.0,3.888888888888889,20.0,23.0,22.0,0.2222222222222222,2.0
train-ticket,ts-route-plan-service,0.1142857142857142,0.0285714285714285,0.0857142857142857,8.402494063762365e-11,0.0285714285714285,0.0002801120448179,0.0002801120448179,1.0,0.0321720810141225,0.0365103843272918,24.393796878014893,1.0,70.0,1.6551724137931034,327.0,0.0,1.7142857142857142,248.0,1.7142857142857142,1.7142857142857142,6.0,604.0,358.0,348.0,573.0,417.0,4.142857142857143,0.7142857142857143,1.0,266.0,737.0,302.0,3.7142857142857144,5.0,1.0,0.8571428571428571,5.0,2.0,2.0,16.0,3.7142857142857144,20.0,21.0,20.0,0.1428571428571428,3.0
train-ticket,ts-route-service,0.1999999999999999,0.1999999999999999,0.0,0.003869522321823,0.2304761904761904,0.0,0.0,9.0,0.0374485216819562,0.1022558528763649,48.91876868783647,1.0,119.0,1.5961538461538465,270.0,0.0,2.363636363636364,225.0,2.363636363636364,2.363636363636364,1.0,674.0,376.0,379.0,621.0,441.0,4.7272727272727275,1.2727272727272727,1.0,262.0,859.0,343.0,3.727272727272727,14.0,1.0,0.0909090909090909,0.0,2.0,2.0,12.0,3.727272727272727,37.0,41.0,40.0,0.0909090909090909,11.0
train-ticket,ts-seat-service,0.2571428571428571,0.1714285714285714,0.0857142857142857,2.3721501245379898e-05,0.1928571428571428,0.0193277310924369,0.0194677871148459,7.5,0.0410795797186183,0.1745840634006986,81.68642107617592,1.0,69.0,1.3333333333333333,270.0,0.0,1.7142857142857142,191.0,1.7142857142857142,1.7142857142857142,4.0,517.0,300.0,285.0,497.0,345.0,3.4285714285714284,0.7142857142857143,1.0,238.0,647.0,279.0,3.142857142857143,5.0,1.0,0.5714285714285714,3.0,2.0,2.0,15.0,3.142857142857143,18.0,19.0,18.0,0.1428571428571428,2.0
train-ticket,ts-security-service,0.1142857142857142,0.0571428571428571,0.0571428571428571,1.679206121358046e-10,0.0571428571428571,0.0008403361344537,0.0008403361344537,2.0,0.0338689455057337,0.0597270069018056,24.041711766019752,1.0,50.0,1.446808510638298,212.0,0.0,2.0,162.0,2.0,2.0,4.0,511.0,308.0,291.0,538.0,362.0,4.7,1.2,1.0,259.0,689.0,339.0,3.8,12.0,1.0,0.4,3.0,2.0,2.0,13.0,3.8,33.0,35.0,34.0,0.1,9.0
train-ticket,ts-train-food-service,0.0285714285714285,0.0285714285714285,0.0,5.4448420071459114e-08,0.0514285714285714,0.0,0.0,2.0,0.0155060478876874,0.0,2.0201898350183236,1.0,17.0,1.8095238095238095,84.0,0.0,1.375,60.0,1.375,1.375,2.0,243.0,149.0,130.0,274.0,180.0,2.625,0.625,1.0,134.0,346.0,175.0,1.75,5.0,1.0,0.25,1.0,3.0,3.0,9.0,1.75,11.0,13.0,12.0,0.125,7.0
train-ticket,ts-train-service,0.1999999999999999,0.1999999999999999,0.0,0.0038694951396254,0.2304761904761904,0.0,0.0,9.0,0.0379879333908328,0.0968780757352621,52.61160673573367,1.0,23.0,1.5,267.0,0.0,1.7,207.0,1.7,1.7,1.0,609.0,334.0,374.0,623.0,405.0,5.8,1.2,1.0,248.0,753.0,346.0,4.6,12.0,1.0,0.1,0.0,2.0,2.0,11.0,4.6,42.0,46.0,45.0,0.1,12.0
train-ticket,ts-travel-plan-service,0.1428571428571428,0.0,0.1428571428571428,1.2926913944249798e-13,0.0,0.0,0.0,0.0,0.0346705950425055,0.0533505194323297,36.03156252272678,1.0,61.0,1.9767441860465116,363.0,4.0,3.2,267.0,3.2,3.2,8.0,714.0,421.0,403.0,672.0,477.0,4.1,1.2,1.0,331.0,886.0,393.0,3.9,12.0,1.0,0.8,7.0,2.0,2.0,20.0,3.9,26.0,32.0,31.0,0.1,4.0
train-ticket,ts-travel-service,0.2857142857142857,0.1714285714285714,0.1142857142857142,8.20500959943606e-08,0.175,0.017296918767507,0.0172268907563025,6.5,0.0411227893661161,0.1820724278841267,97.71209267419673,1.0,134.0,1.9207920792079207,720.0,0.0,3.357142857142857,575.0,3.357142857142857,3.357142857142857,11.0,1462.0,762.0,921.0,1303.0,909.0,7.071428571428571,1.1428571428571428,2.0,521.0,1670.0,663.0,6.0,16.0,2.0,0.7857142857142857,8.0,3.0,3.0,18.0,6.0,66.0,74.0,73.0,0.1428571428571428,18.0
train-ticket,ts-travel2-service,0.2285714285714285,0.1142857142857142,0.1142857142857142,2.7517909520542843e-08,0.1142857142857142,0.0080532212885154,0.0079831932773109,4.0,0.0389653542571213,0.1023286071670673,70.1692856597961,1.0,120.0,1.8064516129032255,672.0,0.0,3.4615384615384617,529.0,3.4615384615384617,3.4615384615384617,9.0,1316.0,709.0,819.0,1215.0,838.0,7.153846153846154,1.1538461538461535,2.0,484.0,1542.0,627.0,5.923076923076923,15.0,2.0,0.6923076923076923,8.0,2.0,2.0,18.0,5.923076923076923,63.0,69.0,68.0,0.1538461538461538,16.0
website,backend,0.5,0.25,0.25,0.3768150168973653,0.5,0.0833333333333333,0.0833333333333333,2.333333333333333,0.2580645161290322,0.1458333333333333,3.1036748801962624,3.0,110.0,1.4924471299093656,2335.0,625.0,2.4583333333333335,1499.0,2.4583333333333335,3.216666666666667,24.0,3679.0,3831.0,1966.0,6966.0,4556.0,2.75,3.308333333333333,131.0,3416.0,8980.0,4477.0,2.325,397.0,104.0,0.2,4.0,135.0,83.0,169.0,3.933333333333333,256.0,473.0,255.0,0.8666666666666667,69.0
