MS_system,Microservice,degree_centrality,in_degree_centrality,out_degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality,information_centrality,currrent_flow_centrality,subgraph_centrality,CountDeclMethodProtected,CountLineComment,MethodAvg_IOVars,CountLineCodeExe,MethodMax_Si,ClassAvg_NF,CountStmtExe,ClassAvg_Ad,ClassAvg_Aa,ClassSum_HMd,ClassSum_RTLOC,CountSemicolon,PackageSum_TLOC,CountLineCode,CountStmt,ClassAvg_NM,ClassAvg_NOL,CountDeclClassMethod,CountStmtDecl,CountLine,CountLineCodeDecl,ClassAvg_Md,ClassSum_NOL,ClassSum_NSM,ClassAvg_HMd,CountDeclMethodPrivate,CountDeclClassVariable,ClassSum_NSF,CountDeclClass,ClassAvg_Ma,ClassSum_NPM,CountDeclMethodPublic,ClassSum_PMd,ClassAvg_NSM,CountDeclMethodDefault
blog-microservices,review-service,0.2,0.1,0.1,9.834264676732177e-08,0.1,0.0,0.0,1.0,0.0842105263157894,0.0515432098765432,4.719495298977008,0.0,27.0,1.8333333333333333,27.0,1.0,2.0,26.0,2.0,2.0,1.0,126.0,67.0,52.0,115.0,77.0,2.0,0.3333333333333333,1.0,56.0,176.0,82.0,2.0,1.0,1.0,0.3333333333333333,1.0,2.0,2.0,3.0,2.0,4.0,5.0,5.0,0.3333333333333333,0.0
geocoder-microservices,geocoderlocal-service,0.375,0.25,0.125,0.2349789021466484,0.3828125,0.0,0.0,3.9166666666666665,0.1500852757248436,0.0999729437229435,8.66061552056111,0.0,36.0,1.3529411764705883,110.0,4.0,1.181818181818182,100.0,1.181818181818182,1.181818181818182,1.0,332.0,177.0,232.0,322.0,241.0,3.090909090909091,1.4545454545454546,1.0,153.0,467.0,188.0,2.8181818181818183,16.0,1.0,0.0909090909090909,1.0,1.0,1.0,11.0,2.8181818181818183,31.0,33.0,30.0,0.0909090909090909,0.0
geocoder-microservices,zuul-gateway,0.625,0.375,0.25,0.5765340294753317,0.5104166666666667,0.3035714285714285,0.3035714285714285,4.833333333333333,0.1667719519898925,0.3317099567099569,9.812414362468626,0.0,0.0,0.8571428571428571,10.0,0.0,0.3333333333333333,10.0,0.3333333333333333,0.3333333333333333,0.0,54.0,29.0,30.0,60.0,39.0,2.3333333333333335,0.6666666666666666,1.0,32.0,84.0,43.0,2.3333333333333335,2.0,1.0,0.0,0.0,1.0,1.0,3.0,2.3333333333333335,7.0,7.0,7.0,0.3333333333333333,0.0
jhipster-microservices-example,jhipster-registry,2.0,1.0,1.0,0.6344553044127323,0.8,0.5833333333333333,0.5833333333333333,3.5,0.3,1.4444444444444449,9.163432143784515,3.0,317.0,1.2217573221757323,1182.0,900.0,1.903225806451613,937.0,1.9838709677419355,1.9838709677419355,32.0,2914.0,1577.0,1776.0,2737.0,1950.0,3.854838709677419,0.6935483870967742,10.0,1195.0,3710.0,1419.0,3.854838709677419,43.0,10.0,0.5161290322580645,21.0,28.0,27.0,63.0,3.854838709677419,174.0,206.0,207.0,0.1612903225806451,6.0
microservice,eureka,0.8333333333333333,0.6666666666666666,0.1666666666666666,0.5883481051461716,0.6666666666666666,0.5,0.5,4.833333333333333,0.2419354838709677,0.488888888888889,12.111481148189869,0.0,2.0,0.3333333333333333,9.0,0.0,1.0,6.0,1.0,1.0,0.0,32.0,22.0,17.0,41.0,27.0,1.5,0.5,1.0,24.0,52.0,33.0,1.5,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.5,3.0,3.0,3.0,0.5,0.0
microservice-kafka,invoicing,0.5714285714285714,0.4285714285714285,0.1428571428571428,0.4999962518573184,0.6363636363636364,0.0238095238095238,0.0238095238095238,5.0,0.1636363636363636,0.2328042328042326,4.312729567368953,0.0,3.0,1.3125,174.0,9.0,1.9375,128.0,1.9375,1.9375,3.0,593.0,273.0,353.0,577.0,370.0,4.6875,1.25,3.0,256.0,751.0,322.0,4.9375,20.0,3.0,0.1875,3.0,2.0,2.0,16.0,4.9375,62.0,76.0,76.0,0.1875,1.0
microservice-kafka,shipping,0.5714285714285714,0.4285714285714285,0.1428571428571428,0.4999962518573184,0.6363636363636364,0.0238095238095238,0.0238095238095238,5.0,0.1636363636363635,0.2328042328042328,4.312729567368956,0.0,3.0,1.3013698630136987,138.0,4.0,1.8125,120.0,1.8125,1.8125,3.0,528.0,261.0,329.0,519.0,351.0,4.5625,1.1875,3.0,245.0,684.0,307.0,4.5,19.0,3.0,0.1875,3.0,2.0,2.0,16.0,4.5,55.0,69.0,69.0,0.1875,1.0
piggymetrics,auth-service,0.5,0.1666666666666666,0.3333333333333333,0.1834615582825173,0.3205128205128205,0.0037878787878787,0.0037878787878787,4.833333333333333,0.1339620606598041,0.149954324531657,43.745381288613785,2.0,11.0,0.696969696969697,99.0,0.0,1.5714285714285714,67.0,1.5714285714285714,1.5714285714285714,2.0,360.0,219.0,177.0,408.0,265.0,2.357142857142857,1.2142857142857142,1.0,213.0,537.0,279.0,2.2857142857142856,17.0,1.0,0.1428571428571428,0.0,2.0,2.0,14.0,2.2857142857142856,30.0,30.0,30.0,0.0714285714285714,1.0
piggymetrics,notification-service,0.5,0.25,0.25,0.2730828967604916,0.3472222222222222,0.1148989898989899,0.1148989898989899,5.5,0.1331397592312931,0.2748185857140143,32.4344634807386,0.0,43.0,0.9206349206349206,301.0,841.0,1.4090909090909092,247.0,1.4090909090909092,1.4090909090909092,1.0,812.0,511.0,432.0,831.0,597.0,2.863636363636364,1.7272727272727273,2.0,403.0,1132.0,504.0,2.363636363636364,38.0,1.0,0.0454545454545454,1.0,1.0,1.0,24.0,2.363636363636364,51.0,60.0,51.0,0.0454545454545454,13.0
piggymetrics,statistics-service,0.5,0.3333333333333333,0.1666666666666666,0.2730829589093397,0.3968253968253968,0.1148989898989899,0.1148989898989899,6.25,0.1331397592312932,0.2748185857140144,32.434463480738536,0.0,74.0,1.19,383.0,441.0,1.9259259259259256,305.0,1.9259259259259256,1.9259259259259256,6.0,1101.0,631.0,613.0,1078.0,767.0,3.592592592592593,2.0,3.0,541.0,1499.0,661.0,3.4814814814814814,54.0,1.0,0.2222222222222222,6.0,5.0,5.0,30.0,3.4814814814814814,85.0,97.0,88.0,0.037037037037037,7.0
