Package,A,CCRC,Ca,Ce,NOC,NOI,PkgRCi,PkgTCi,TLOC,DMS,I
com.apssouza.entities,0.0,0.0,5.0,0.0,1.0,0.0,1.25,15.0,44.0,1.0,0.0
com.apssouza.exceptions,0.0,0.0,3.0,0.0,1.0,0.0,2.0,2.0,5.0,1.0,0.0
com.apssouza.repositories,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,0.333333333,0.333333333
com.apssouza.services,0.5,300.0,1.0,2.0,2.0,1.0,2.966666667,35.6,29.0,0.166666667,0.666666667
com.apssouza.monitoring,0.0,33.333333333,0.0,0.0,3.0,0.0,1.3,13.0,65.0,,
com.apssouza,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,,
com.apssouza.auth,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,8.0,,
com.apssouza.clients,1.0,100.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,0.5,0.5
com.apssouza.configuration,0.0,0.0,0.0,1.0,4.0,0.0,1.071428571,7.5,45.0,0.0,1.0
com.apssouza.pojos,0.0,0.0,3.0,0.0,1.0,0.0,1.375,11.0,30.0,1.0,0.0
com.apssouza.services,0.5,200.0,0.0,2.0,2.0,1.0,2.0,6.0,12.0,0.5,1.0
com.apssouza.infra,0.666666667,66.666666667,0.0,0.0,3.0,2.0,1.285714286,9.0,30.0,,
de.codecentric.boot.admin,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,,
com.apssouza,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,,
com.apssouza.clients,1.0,200.0,2.0,2.0,2.0,2.0,1.666666667,10.0,10.0,0.5,0.5
com.apssouza.configuration,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,30.0,,
com.apssouza.controllers,0.0,300.0,0.0,2.0,2.0,0.0,1.8,9.0,22.0,0.0,1.0
com.apssouza.exceptions,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,5.0,,
com.apssouza.pojos,0.0,0.0,8.0,0.0,2.0,0.0,1.15,23.0,74.0,1.0,0.0
com.apssouza.services,0.5,300.0,2.0,4.0,4.0,2.0,1.769230769,23.0,37.0,0.166666667,0.666666667
com.apssouza.discovery,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,,
com.apssouza.config,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,1.0,0.0
demo,0.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,1.0
com.ewolff.microservice.customer,0.166666667,83.333333333,2.0,0.0,6.0,1.0,1.741935484,54.0,150.0,0.833333333,0.0
com.ewolff.microservice.customer.cdc,0.0,100.0,0.0,1.0,4.0,0.0,1.975308642,53.333333333,141.0,0.0,1.0
com.ewolff.microservice.customer.web,0.0,200.0,0.0,1.0,1.0,0.0,2.142857143,15.0,28.0,0.0,1.0
com.ewolff.microservice.catalog,0.142857143,100.0,2.0,0.0,7.0,1.0,1.461538462,38.0,122.0,0.857142857,0.0
com.ewolff.microservice.catalog.cdc,0.0,100.0,0.0,1.0,4.0,0.0,1.766666667,35.333333333,102.0,0.0,1.0
com.ewolff.microservice.catalog.web,0.0,200.0,0.0,1.0,1.0,0.0,1.777777778,16.0,34.0,0.0,1.0
com.ewolff.microservice.order,0.0,0.0,3.0,0.0,2.0,0.0,1.0,3.0,15.0,1.0,0.0
com.ewolff.microservice.order.catalogstub,0.0,100.0,0.0,1.0,1.0,0.0,1.5,3.0,11.0,0.0,1.0
com.ewolff.microservice.order.clients,0.0,33.333333333,5.0,0.0,6.0,0.0,1.706349206,71.666666667,219.0,1.0,0.0
com.ewolff.microservice.order.customerstub,0.0,100.0,0.0,1.0,1.0,0.0,1.5,3.0,11.0,0.0,1.0
com.ewolff.microservice.order.logic,0.111111111,288.888888889,0.0,7.0,9.0,1.0,2.29787234,108.0,236.0,0.111111111,1.0
pl.piomin.services.account,0.0,50.0,0.0,1.0,2.0,0.0,2.0,10.0,31.0,0.0,1.0
pl.piomin.services.account.controller,0.0,200.0,0.0,1.0,1.0,0.0,1.75,7.0,20.0,0.0,1.0
pl.piomin.services.account.model,0.0,0.0,3.0,0.0,1.0,0.0,1.272727273,14.0,40.0,1.0,0.0
pl.piomin.services.account.repository,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,0.5,0.5
pl.piomin.services.discovery,0.0,0.0,0.0,0.0,2.0,0.0,0.5,1.0,12.0,,
pl.piomin.services.gateway,0.0,50.0,0.0,0.0,4.0,0.0,1.166666667,7.0,31.0,,
com.example,0.2,40.0,0.0,0.0,5.0,1.0,1.0,8.0,37.0,,
com.example,0.0,0.0,0.0,0.0,2.0,0.0,0.5,1.0,9.0,,
com.example,0.0,125.0,0.0,1.0,4.0,0.0,1.333333333,8.0,39.0,0.0,1.0
com.example.dto,0.0,50.0,3.0,0.0,4.0,0.0,1.407407407,38.0,101.0,1.0,0.0
com.example.service,0.75,125.0,1.0,2.0,4.0,3.0,1.111111111,10.0,38.0,0.416666667,0.666666667
com.example,0.142857143,57.142857143,0.0,0.0,7.0,1.0,1.16,29.0,119.0,,
com.example,0.0,0.0,0.0,0.0,2.0,0.0,0.5,1.0,9.0,,
com.example,0.222222222,77.777777778,0.0,0.0,9.0,2.0,2.441860465,105.0,188.0,,
org.flowant.website.registry,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,10.0,,
org.flowant.authserver,0.0,200.0,0.0,5.0,5.0,0.0,0.166666667,4.0,148.0,0.0,1.0
org.flowant.website,0.0,0.0,5.0,2.0,8.0,0.0,1.349206349,28.333333333,148.0,0.714285714,0.285714286
org.flowant.website.controller,0.0,0.0,1.0,0.0,3.0,0.0,1.4,7.0,27.0,1.0,0.0
org.flowant.website.repository,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,12.0,1.0,0.0
org.flowant.website.repository.devutil,0.0,0.0,4.0,0.0,1.0,0.0,1.1,5.5,37.0,1.0,0.0
