MS_system,Microservice,Degree Centrality,In-degree Centrality,Out-degree Centrality,Eigenvector Centrality,Closeness Centrality,Betweenness Centrality,Load Centrality,Harmonic Centrality,Information Centrality,Currrent Flow Centrality,Subgraph Centrality,Sum(RTLOC),Sum(TLOC),Sum(NOL),Sum(NSF),Avg(NF),CountStmtExe,Avg(Ad),Avg(Aa),Sum(PMd),Avg(NSM),Sum(NSM),Avg(HMd),Sum(HMd),Sum(NPM),CountSemicolon,CountLineCode,CountStmt,CountDeclClassMethod,CountStmtDecl,CountLine,CountDeclMethodPrivate,CountDeclClassVariable,CountDeclClass,CountDeclMethodPublic,CountDeclMethodDefault,CountDeclMethodProtected,CountLineComment,CountLineCodeExe,CountLineCodeDecl
microservice-kafka,shipping,0.5714285714285714,0.4285714285714285,0.1428571428571428,0.4999962518573184,0.6363636363636364,0.0238095238095238,0.0238095238095238,5.0,0.1636363636363635,0.2328042328042328,4.312729567368956,528.0,329.0,19.0,2.0,1.8125,120.0,1.8125,1.8125,69.0,0.1875,3.0,0.1875,3.0,55.0,261.0,519.0,351.0,3.0,245.0,684.0,3.0,2.0,16.0,69.0,1.0,0.0,3.0,138.0,307.0
piggymetrics,auth-service,0.5,0.1666666666666666,0.3333333333333333,0.1834615582825173,0.3205128205128205,0.0037878787878787,0.0037878787878787,4.833333333333333,0.1339620606598041,0.149954324531657,43.745381288613785,360.0,177.0,17.0,2.0,1.5714285714285714,67.0,1.5714285714285714,1.5714285714285714,30.0,0.0714285714285714,1.0,0.1428571428571428,2.0,30.0,219.0,408.0,265.0,1.0,213.0,537.0,0.0,2.0,14.0,30.0,1.0,2.0,11.0,99.0,279.0
piggymetrics,notification-service,0.5,0.25,0.25,0.2730828967604916,0.3472222222222222,0.1148989898989899,0.1148989898989899,5.5,0.1331397592312931,0.2748185857140143,32.4344634807386,812.0,432.0,38.0,1.0,1.4090909090909092,247.0,1.4090909090909092,1.4090909090909092,51.0,0.0454545454545454,1.0,0.0454545454545454,1.0,51.0,511.0,831.0,597.0,2.0,403.0,1132.0,1.0,1.0,24.0,60.0,13.0,0.0,43.0,301.0,504.0
piggymetrics,statistics-service,0.5,0.3333333333333333,0.1666666666666666,0.2730829589093397,0.3968253968253968,0.1148989898989899,0.1148989898989899,6.25,0.1331397592312932,0.2748185857140144,32.434463480738536,1101.0,613.0,54.0,5.0,1.9259259259259256,305.0,1.9259259259259256,1.9259259259259256,88.0,0.037037037037037,1.0,0.2222222222222222,6.0,85.0,631.0,1078.0,767.0,3.0,541.0,1499.0,6.0,5.0,30.0,97.0,7.0,0.0,74.0,383.0,661.0
sample-spring-cloud-webflux,gateway-service,1.25,0.5,0.75,0.5732796446078026,0.6666666666666666,0.8333333333333333,0.8333333333333333,3.0,0.3636363636363636,0.7083333333333334,5.207349760392519,86.0,44.0,2.0,1.0,0.6,19.0,0.6,0.6,6.0,0.4,2.0,0.4,2.0,6.0,70.0,120.0,83.0,2.0,70.0,149.0,0.0,1.0,5.0,6.0,2.0,0.0,1.0,26.0,88.0
sample-spring-microservices-new,department-service,0.8571428571428571,0.4285714285714285,0.4285714285714285,0.2670565257652674,0.5142857142857142,0.0218253968253968,0.0218253968253968,4.333333333333333,0.3193916349809886,0.1746031746031746,41.12059630562406,303.0,199.0,13.0,2.0,1.875,85.0,1.875,1.875,33.0,0.125,1.0,1.25,10.0,28.0,149.0,295.0,200.0,1.0,130.0,375.0,0.0,2.0,8.0,33.0,11.0,0.0,0.0,91.0,167.0
sample-spring-microservices-new,employee-service,0.8571428571428571,0.5714285714285714,0.2857142857142857,0.4083148800996026,0.6428571428571428,0.0218253968253968,0.0218253968253968,5.0,0.3193916349809886,0.1746031746031745,41.12059630562399,270.0,177.0,8.0,2.0,1.8333333333333333,83.0,1.8333333333333333,1.8333333333333333,26.0,0.1666666666666666,1.0,1.8333333333333333,11.0,24.0,135.0,265.0,178.0,1.0,109.0,329.0,0.0,2.0,6.0,26.0,11.0,0.0,0.0,91.0,144.0
sample-spring-microservices-new,organization-service,0.8571428571428571,0.2857142857142857,0.5714285714285714,0.1746668274065739,0.4285714285714285,0.0218253968253968,0.0218253968253968,3.6666666666666665,0.3193916349809886,0.1746031746031748,41.12059630562408,343.0,225.0,15.0,2.0,1.9,89.0,1.9,1.9,46.0,0.1,1.0,0.4,4.0,42.0,167.0,332.0,227.0,1.0,154.0,433.0,0.0,2.0,10.0,48.0,5.0,0.0,0.0,92.0,195.0
spring-boot-microservices-workshop,movie-catalog-service,1.0,0.0,1.0,1.989329237967547e-06,0.0,0.0,0.0,0.0,0.5714285714285714,0.4166666666666667,4.248218608460323,173.0,116.0,5.0,0.0,1.7142857142857142,34.0,1.7142857142857142,1.7142857142857142,29.0,0.1428571428571428,1.0,0.0,0.0,24.0,79.0,166.0,115.0,1.0,83.0,225.0,0.0,0.0,7.0,29.0,0.0,0.0,6.0,37.0,95.0
spring-boot-microservices-workshop,ratings-data-service,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0014104344297189,0.3333333333333333,0.0,0.0,1.0,0.4444444444444444,0.1666666666666666,3.0185860343596342,91.0,59.0,3.0,0.0,0.8,17.0,0.8,0.8,14.0,0.2,1.0,0.0,0.0,13.0,40.0,90.0,59.0,1.0,43.0,121.0,0.0,0.0,5.0,14.0,0.0,0.0,0.0,20.0,52.0
